From;To;Direction;Label;Type;Tags;Description;Experiment ID;Base Model;Model Configuration;Link;Analysis prompt;Text;Temperature;[Engineer];Timestamp
Attention weights;semantic significance;positive;;;;;12;BERT;RGAT;reveal;RGAT with broad attention scope;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;3.0;;2025-06-10T21:20:25.308619
Dynamic focusing;context variations;positive;;;;;12;BERT;RGAT;adapts to;RGAT with broad attention scope;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;3.0;;2025-06-10T21:20:25.308619
Graph attention networks;relationship importance;positive;;;;;11;BERT;RGAT;learn;RGAT with standard attention;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
Multi-head mechanisms;diverse patterns;positive;;;;;11;BERT;RGAT;capture;RGAT with standard attention;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
Attention mechanisms;relevant connections;positive;;;;;10;BERT;RGAT;prioritize;RGAT with focused attention;Attention mechanisms prioritize relevant connections. Weighted aggregation emphasizes important relationships.;0.1;;2025-06-10T21:20:25.308605
Weighted aggregation;important relationships;positive;;;;;10;BERT;RGAT;emphasizes;RGAT with focused attention;Attention mechanisms prioritize relevant connections. Weighted aggregation emphasizes important relationships.;0.1;;2025-06-10T21:20:25.308605
Compositional operators;semantic spaces;positive;;;;;9;BERT;COMPGCN;transform;CompGCN with creative exploration;Compositional operators transform semantic spaces. Mathematical functions encode relational patterns.;3.0;;2025-06-10T21:20:25.308597
Mathematical functions;relational patterns;positive;;;;;9;BERT;COMPGCN;encode;CompGCN with creative exploration;Compositional operators transform semantic spaces. Mathematical functions encode relational patterns.;3.0;;2025-06-10T21:20:25.308597
Entity-relation interactions;compositional structures;positive;;;;;8;BERT;COMPGCN;form;CompGCN with balanced approach;Entity-relation interactions form compositional structures. Unified embedding spaces capture dependencies.;1.0;;2025-06-10T21:20:25.308589
Unified embedding spaces;dependencies;positive;;;;;8;BERT;COMPGCN;capture;CompGCN with balanced approach;Entity-relation interactions form compositional structures. Unified embedding spaces capture dependencies.;1.0;;2025-06-10T21:20:25.308589
Composition functions;entity and relation embeddings;positive;;;;;7;BERT;COMPGCN;merge;CompGCN with precise extraction;Composition functions merge entity and relation embeddings. Joint representations enable unified processing.;0.1;;2025-06-10T21:20:25.308578
Joint representations;unified processing;positive;;;;;7;BERT;COMPGCN;enable;CompGCN with precise extraction;Composition functions merge entity and relation embeddings. Joint representations enable unified processing.;0.1;;2025-06-10T21:20:25.308578
Knowledge graphs;structured reasoning;positive;;;;;6;BERT;RGCN;enable;RGCN with exploratory temperature;Knowledge graphs enable structured reasoning. Relation-specific parameters capture semantic nuances.;3.0;;2025-06-10T21:20:25.308562
Relation-specific parameters;semantic nuances;positive;;;;;6;BERT;RGCN;capture;RGCN with exploratory temperature;Knowledge graphs enable structured reasoning. Relation-specific parameters capture semantic nuances.;3.0;;2025-06-10T21:20:25.308562
Relational convolutions;semantic understanding;positive;;;;;5;BERT;RGCN;enhance;RGCN with standard temperature;Relational convolutions enhance semantic understanding. Multi-relational graphs benefit from specialized architectures.;1.0;;2025-06-10T21:20:25.308297
Multi-relational graphs;specialized architectures;positive;;;;;5;BERT;RGCN;benefit from;RGCN with standard temperature;Relational convolutions enhance semantic understanding. Multi-relational graphs benefit from specialized architectures.;1.0;;2025-06-10T21:20:25.308297
Graph neural networks;relational data structures;positive;;;;;4;BERT;RGCN;process;RGCN with conservative temperature;Graph neural networks process relational data structures. RGCN models handle heterogeneous relationship types effectively.;0.1;;2025-06-10T21:20:25.308291
RGCN models;heterogeneous relationship types;positive;;;;;4;BERT;RGCN;handle;RGCN with conservative temperature;Graph neural networks process relational data structures. RGCN models handle heterogeneous relationship types effectively.;0.1;;2025-06-10T21:20:25.308291
Academic studies;artificial intelligence applications;positive;;;;;3;BERT;None;explored;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
Neural systems;complex behavioral patterns;positive;;;;;3;BERT;None;exhibited;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
Researchers;computational methods;positive;;;;;2;BERT;None;analyzed;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Deep learning algorithms;consistent results;positive;;;;;2;BERT;None;showed;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Scientists;rigorous experiments;positive;;;;;1;BERT;None;conducted;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
Machine learning models;exceptional performance;positive;;;;;1;BERT;None;demonstrated;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
