Label;Type;Tags;Description;Trial ID;Base Model;Model Configuration;Analysis prompt;Text;Temperature;[Engineer];Timestamp
Scientists;;;;1;BERT;None;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
rigorous experiments;;;;1;BERT;None;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
exceptional performance;;;;1;BERT;None;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
Machine learning models;;;;1;BERT;None;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
consistent results;;;;2;BERT;None;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Researchers;;;;2;BERT;None;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
computational methods;;;;2;BERT;None;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Deep learning algorithms;;;;2;BERT;None;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Academic studies;;;;3;BERT;None;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
Neural systems;;;;3;BERT;None;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
artificial intelligence applications;;;;3;BERT;None;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
complex behavioral patterns;;;;3;BERT;None;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
