From;To;Direction;Label;Type;Tags;Description;Experiment ID;Base Model;Model Configuration;Link;Analysis prompt;Text;Temperature;[Engineer];Timestamp
DNA polymerase;new DNA strands;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
DNA polymerase;new DNA strands;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
DNA polymerase;replication;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
new DNA strands;DNA polymerase;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
new DNA strands;replication;neutral;;;;;18;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
replication;new DNA strands;neutral;;;;;18;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;19;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;19;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;20;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;20;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;21;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;21;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
The enzyme catalase;water;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;hydrogen peroxide;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
